,image_name,tags,haze,primary,agriculture,clear,water,habitation,road,cultivation,slash_burn,cloudy,partly_cloudy,conventional_mine,bare_ground,artisinal_mine,blooming,selective_logging,blow_down
99,train_99,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100,train_100,bare_ground clear water,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
101,train_101,cloudy primary,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102,train_102,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,train_103,agriculture clear habitation primary road water,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
104,train_104,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,train_105,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,train_106,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,train_107,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,train_108,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,train_109,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,train_110,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111,train_111,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,train_112,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
113,train_113,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,train_114,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
115,train_115,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
116,train_116,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
117,train_117,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,train_118,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,train_119,agriculture clear primary road water,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
120,train_120,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,train_121,partly_cloudy primary water,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
122,train_122,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
123,train_123,agriculture bare_ground clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
124,train_124,bare_ground clear primary,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
125,train_125,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,train_126,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
127,train_127,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,train_128,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,train_129,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,train_130,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,train_131,agriculture clear primary road water,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
132,train_132,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,train_133,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,train_134,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135,train_135,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
136,train_136,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,train_137,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,train_138,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139,train_139,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,train_140,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,train_141,partly_cloudy primary water,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
142,train_142,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
143,train_143,partly_cloudy primary water,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
144,train_144,agriculture partly_cloudy primary selective_logging,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
145,train_145,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
146,train_146,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
147,train_147,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,train_148,agriculture clear cultivation primary water,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
149,train_149,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,train_150,agriculture partly_cloudy primary,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,train_151,agriculture clear cultivation primary selective_logging,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
152,train_152,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,train_153,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,train_154,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,train_155,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,train_156,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
157,train_157,agriculture partly_cloudy primary,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
158,train_158,agriculture clear primary water,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
159,train_159,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
160,train_160,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
161,train_161,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
162,train_162,agriculture partly_cloudy primary,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163,train_163,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
164,train_164,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,train_165,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
166,train_166,clear primary road selective_logging water,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
167,train_167,agriculture habitation partly_cloudy primary road,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
168,train_168,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169,train_169,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
170,train_170,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
171,train_171,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
172,train_172,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
173,train_173,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
174,train_174,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
175,train_175,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,train_176,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,train_177,agriculture clear primary road water,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
178,train_178,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179,train_179,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180,train_180,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,train_181,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,train_182,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
183,train_183,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
184,train_184,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185,train_185,agriculture artisinal_mine clear cultivation habitation primary road water,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
186,train_186,clear primary road water,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
187,train_187,artisinal_mine clear primary road,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
188,train_188,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
189,train_189,clear primary road water,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
190,train_190,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191,train_191,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192,train_192,blow_down clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
193,train_193,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
194,train_194,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
195,train_195,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
196,train_196,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,train_197,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
198,train_198,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
199,train_199,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
200,train_200,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201,train_201,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202,train_202,clear habitation road,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
203,train_203,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,train_204,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,train_205,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
206,train_206,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
207,train_207,bare_ground clear primary road,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
208,train_208,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,train_209,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
210,train_210,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
211,train_211,clear habitation primary road,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
212,train_212,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
213,train_213,agriculture clear primary road water,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
214,train_214,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,train_215,haze primary water,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,train_216,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
217,train_217,bare_ground clear primary,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
218,train_218,agriculture clear cultivation habitation primary road,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
219,train_219,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,train_220,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
221,train_221,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,train_222,agriculture clear cultivation habitation primary road water,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
223,train_223,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224,train_224,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,train_225,agriculture clear cultivation habitation primary road,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
226,train_226,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
227,train_227,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
228,train_228,agriculture haze primary road water,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
229,train_229,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
230,train_230,agriculture bare_ground habitation partly_cloudy primary road,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
231,train_231,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
232,train_232,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
233,train_233,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
234,train_234,cloudy primary,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
235,train_235,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
236,train_236,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
237,train_237,artisinal_mine clear primary road water,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
238,train_238,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239,train_239,bare_ground clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
240,train_240,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
241,train_241,agriculture haze primary road,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
242,train_242,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
243,train_243,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244,train_244,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,train_245,clear primary blooming,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
246,train_246,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
247,train_247,agriculture clear cultivation habitation primary road selective_logging,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
248,train_248,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,train_249,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
250,train_250,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
251,train_251,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252,train_252,clear habitation primary,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
253,train_253,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
254,train_254,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
255,train_255,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
256,train_256,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
257,train_257,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
258,train_258,clear habitation primary road,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
259,train_259,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
260,train_260,clear primary road water,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
261,train_261,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
262,train_262,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
263,train_263,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
264,train_264,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
265,train_265,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
266,train_266,clear cultivation habitation primary,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
267,train_267,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
268,train_268,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
269,train_269,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
270,train_270,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
271,train_271,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
272,train_272,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
273,train_273,cloudy primary,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
274,train_274,artisinal_mine clear primary road water,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
275,train_275,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
276,train_276,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
277,train_277,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
278,train_278,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
279,train_279,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
280,train_280,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
281,train_281,clear primary selective_logging,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
282,train_282,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
283,train_283,partly_cloudy primary water,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
284,train_284,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
